SOL_ID,PROCEDURE,START_TIME,END_TIME,EXECUTION_SECONDS,STATUS,ERROR_DETAILS
0011,RC003,28-05-2025 16:50:49,28-05-2025 16:50:49,0.012,SUCCESS,-
0005,RC009,28-05-2025 16:50:49,28-05-2025 16:50:49,0.007,SUCCESS,-
0012,RC003,28-05-2025 16:50:49,28-05-2025 16:50:49,0.007,SUCCESS,-
0012,RC002,28-05-2025 16:50:49,28-05-2025 16:50:49,0.007,SUCCESS,-
0004,RC003,28-05-2025 16:50:49,28-05-2025 16:50:49,0.371,SUCCESS,-
0010,RC009,28-05-2025 16:50:49,28-05-2025 16:50:49,0.006,SUCCESS,-
0013,RC001,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0005,RC006,28-05-2025 16:50:49,28-05-2025 16:50:49,0.026,SUCCESS,-
0013,RC005,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0012,RC006,28-05-2025 16:50:49,28-05-2025 16:50:49,0.006,SUCCESS,-
0013,RC003,28-05-2025 16:50:49,28-05-2025 16:50:49,0.008,SUCCESS,-
0011,RC009,28-05-2025 16:50:49,28-05-2025 16:50:49,0.006,SUCCESS,-
0001,RC001,28-05-2025 16:50:49,28-05-2025 16:50:49,0.375,SUCCESS,-
0012,RC008,28-05-2025 16:50:49,28-05-2025 16:50:49,0.006,SUCCESS,-
0008,RC005,28-05-2025 16:50:49,28-05-2025 16:50:49,0.375,SUCCESS,-
0011,RC008,28-05-2025 16:50:49,28-05-2025 16:50:49,0.006,SUCCESS,-
0013,RC002,28-05-2025 16:50:49,28-05-2025 16:50:49,0.008,SUCCESS,-
0011,RC006,28-05-2025 16:50:49,28-05-2025 16:50:49,0.006,SUCCESS,-
0012,RC009,28-05-2025 16:50:49,28-05-2025 16:50:49,0.006,SUCCESS,-
0002,RC003,28-05-2025 16:50:49,28-05-2025 16:50:49,0.376,SUCCESS,-
0002,RC005,28-05-2025 16:50:49,28-05-2025 16:50:49,0.378,SUCCESS,-
0013,RC008,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0013,RC006,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0014,RC003,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0014,RC002,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0014,RC001,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0013,RC009,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0014,RC005,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0015,RC001,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0015,RC003,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0005,RC003,28-05-2025 16:50:49,28-05-2025 16:50:49,0.381,SUCCESS,-
0015,RC002,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0015,RC005,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0016,RC002,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0016,RC005,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0016,RC001,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0016,RC003,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0017,RC003,28-05-2025 16:50:49,28-05-2025 16:50:49,0.004,SUCCESS,-
0017,RC005,28-05-2025 16:50:49,28-05-2025 16:50:49,0.004,SUCCESS,-
0014,RC009,28-05-2025 16:50:49,28-05-2025 16:50:49,0.004,SUCCESS,-
0014,RC006,28-05-2025 16:50:49,28-05-2025 16:50:49,0.004,SUCCESS,-
0017,RC001,28-05-2025 16:50:49,28-05-2025 16:50:49,0.004,SUCCESS,-
0014,RC008,28-05-2025 16:50:49,28-05-2025 16:50:49,0.004,SUCCESS,-
0017,RC002,28-05-2025 16:50:49,28-05-2025 16:50:49,0.006,SUCCESS,-
0016,RC008,28-05-2025 16:50:49,28-05-2025 16:50:49,0.004,SUCCESS,-
