PROCEDURE,EARLIEST_START_TIME,LATEST_END_TIME,EXECUTION_SECONDS,STATUS
RC001,28-05-2025 15:28:33,28-05-2025 15:28:34,0.784,SUCCESS
RC002,28-05-2025 15:28:33,28-05-2025 15:28:34,0.778,SUCCESS
RC003,28-05-2025 15:28:33,28-05-2025 15:28:34,0.771,SUCCESS
RC005,28-05-2025 15:28:33,28-05-2025 15:28:34,0.781,SUCCESS
RC006,28-05-2025 15:28:34,28-05-2025 15:28:34,0.073,SUCCESS
RC008,28-05-2025 15:28:34,28-05-2025 15:28:34,0.070,SUCCESS
RC009,28-05-2025 15:28:34,28-05-2025 15:28:34,0.059,SUCCESS
