SOL_ID,PROCEDURE,START_TIME,END_TIME,EXECUTION_SECONDS,STATUS,ERROR_DETAILS
0002,RC002,28-05-2025 15:40:12,28-05-2025 15:40:13,0.765,SUCCESS,-
0011,RC002,28-05-2025 15:40:13,28-05-2025 15:40:13,0.010,SUCCESS,-
0011,RC003,28-05-2025 15:40:13,28-05-2025 15:40:13,0.010,SUCCESS,-
0009,RC003,28-05-2025 15:40:12,28-05-2025 15:40:13,0.766,SUCCESS,-
0012,RC002,28-05-2025 15:40:13,28-05-2025 15:40:13,0.010,SUCCESS,-
0006,RC009,28-05-2025 15:40:13,28-05-2025 15:40:13,0.015,SUCCESS,-
0012,RC005,28-05-2025 15:40:13,28-05-2025 15:40:13,0.010,SUCCESS,-
0012,RC003,28-05-2025 15:40:13,28-05-2025 15:40:13,0.013,SUCCESS,-
0011,RC005,28-05-2025 15:40:13,28-05-2025 15:40:13,0.017,SUCCESS,-
0010,RC003,28-05-2025 15:40:12,28-05-2025 15:40:13,0.773,SUCCESS,-
0013,RC001,28-05-2025 15:40:13,28-05-2025 15:40:13,0.008,SUCCESS,-
0011,RC006,28-05-2025 15:40:13,28-05-2025 15:40:13,0.009,SUCCESS,-
0012,RC001,28-05-2025 15:40:13,28-05-2025 15:40:13,0.016,SUCCESS,-
0011,RC009,28-05-2025 15:40:13,28-05-2025 15:40:13,0.011,SUCCESS,-
0011,RC008,28-05-2025 15:40:13,28-05-2025 15:40:13,0.011,SUCCESS,-
0012,RC006,28-05-2025 15:40:13,28-05-2025 15:40:13,0.008,SUCCESS,-
0013,RC002,28-05-2025 15:40:13,28-05-2025 15:40:13,0.012,SUCCESS,-
0001,RC002,28-05-2025 15:40:12,28-05-2025 15:40:13,0.778,SUCCESS,-
0013,RC005,28-05-2025 15:40:13,28-05-2025 15:40:13,0.014,SUCCESS,-
0012,RC008,28-05-2025 15:40:13,28-05-2025 15:40:13,0.011,SUCCESS,-
0006,RC002,28-05-2025 15:40:12,28-05-2025 15:40:13,0.784,SUCCESS,-
0012,RC009,28-05-2025 15:40:13,28-05-2025 15:40:13,0.015,SUCCESS,-
0014,RC002,28-05-2025 15:40:13,28-05-2025 15:40:13,0.014,SUCCESS,-
0013,RC006,28-05-2025 15:40:13,28-05-2025 15:40:13,0.015,SUCCESS,-
0013,RC003,28-05-2025 15:40:13,28-05-2025 15:40:13,0.022,SUCCESS,-
0014,RC001,28-05-2025 15:40:13,28-05-2025 15:40:13,0.018,SUCCESS,-
0016,RC003,28-05-2025 15:40:13,28-05-2025 15:40:13,0.013,SUCCESS,-
